Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
01/1999;80.936,3
02/1999;80.929,1
03/1999;88.802,6
04/1999;87.739,0
05/1999;89.223,0
06/1999;91.746,9
07/1999;91.230,4
08/1999;92.283,4
09/1999;90.611,8
10/1999;95.872,4
11/1999;99.563,1
12/1999;98.772,5
01/2000;92.576,6
02/2000;91.770,4
03/2000;92.579,9
04/2000;91.376,2
05/2000;98.727,0
06/2000;102.685,4
07/2000;103.410,4
08/2000;105.177,8
09/2000;100.307,6
10/2000;106.951,1
11/2000;107.678,0
12/2000;105.851,6
01/2001;102.530,7
02/2001;101.635,3
03/2001;108.303,8
04/2001;107.572,0
05/2001;111.202,2
06/2001;104.949,4
07/2001;110.758,9
08/2001;113.064,7
09/2001;108.700,8
10/2001;116.139,0
11/2001;117.882,0
12/2001;113.016,7
01/2002;112.374,8
02/2002;111.477,1
03/2002;118.444,7
04/2002;120.385,9
05/2002;123.552,5
06/2002;123.424,4
07/2002;126.856,6
08/2002;127.800,1
09/2002;125.137,8
10/2002;133.125,4
11/2002;135.966,6
12/2002;130.241,2
01/2003;125.713,7
02/2003;131.377,7
03/2003;140.150,3
04/2003;141.001,3
05/2003;140.056,9
06/2003;137.929,2
07/2003;144.627,1
08/2003;144.366,4
09/2003;150.356,3
10/2003;158.347,6
11/2003;154.764,9
12/2003;149.259,1
01/2004;142.455,0
02/2004;141.654,6
03/2004;160.673,9
04/2004;159.113,9
05/2004;160.112,1
06/2004;162.569,0
07/2004;168.216,4
08/2004;168.068,5
09/2004;168.967,4
10/2004;174.390,5
11/2004;178.012,0
12/2004;173.518,0
01/2005;161.646,6
02/2005;159.966,7
03/2005;178.097,1
04/2005;177.918,1
05/2005;178.129,4
06/2005;179.509,8
07/2005;181.673,2
08/2005;186.712,8
09/2005;184.473,1
10/2005;192.948,3
11/2005;196.419,8
12/2005;193.089,5
01/2006;181.707,7
02/2006;176.988,5
03/2006;195.574,3
04/2006;188.585,8
05/2006;198.731,5
06/2006;194.659,5
07/2006;203.488,6
08/2006;208.799,8
09/2006;205.559,3
10/2006;219.035,0
11/2006;220.981,6
12/2006;215.338,3
01/2007;206.662,3
02/2007;201.552,1
03/2007;223.208,6
04/2007;218.931,2
05/2007;227.535,3
06/2007;224.188,2
07/2007;230.916,3
08/2007;233.905,1
09/2007;227.024,4
10/2007;245.688,0
11/2007;243.269,2
12/2007;237.382,1
01/2008;232.824,8
02/2008;231.982,2
03/2008;247.248,3
04/2008;253.194,4
05/2008;255.747,4
06/2008;260.583,4
07/2008;271.290,4
08/2008;268.546,1
09/2008;272.766,1
10/2008;284.913,7
11/2008;272.120,8
12/2008;258.585,6
01/2009;244.784,1
02/2009;242.496,9
03/2009;268.846,1
04/2009;263.434,9
05/2009;268.734,4
06/2009;271.408,2
07/2009;281.453,7
08/2009;282.514,8
09/2009;288.874,7
10/2009;309.141,3
11/2009;307.943,5
12/2009;303.406,8
01/2010;284.387,8
02/2010;283.355,0
03/2010;318.654,6
04/2010;311.649,1
05/2010;315.947,2
06/2010;316.548,7
07/2010;328.892,6
08/2010;332.376,6
09/2010;336.665,5
10/2010;350.938,6
11/2010;358.431,8
12/2010;347.999,4
01/2011;327.592,4
02/2011;332.316,4
03/2011;356.621,8
04/2011;354.607,7
05/2011;368.282,8
06/2011;363.821,7
07/2011;367.341,3
08/2011;374.873,1
09/2011;370.119,9
10/2011;383.767,3
11/2011;391.536,4
12/2011;385.501,2
01/2012;364.188,7
02/2012;367.527,7
03/2012;397.757,8
04/2012;385.882,7
05/2012;401.863,7
06/2012;395.379,2
07/2012;409.024,9
08/2012;418.752,4
09/2012;402.671,5
10/2012;431.399,9
11/2012;426.614,9
12/2012;413.696,7
01/2013;408.895,1
02/2013;398.087,4
03/2013;434.631,2
04/2013;446.508,1
05/2013;441.321,9
06/2013;434.750,0
07/2013;452.593,1
08/2013;453.785,4
09/2013;447.755,6
10/2013;475.721,2
11/2013;470.316,2
12/2013;467.253,8
01/2014;453.273,2
02/2014;455.505,0
03/2014;477.202,9
04/2014;479.729,8
05/2014;481.273,4
06/2014;461.318,6
07/2014;486.872,4
08/2014;483.777,6
09/2014;491.475,4
10/2014;509.081,5
11/2014;498.548,9
12/2014;500.894,2
01/2015;474.652,3
02/2015;466.955,1
03/2015;515.051,3
04/2015;497.177,8
05/2015;492.213,6
06/2015;490.578,4
07/2015;507.295,0
08/2015;501.225,8
09/2015;499.707,5
10/2015;521.367,0
11/2015;514.102,4
12/2015;515.460,8
01/2016;482.514,5
02/2016;490.151,8
03/2016;527.632,6
04/2016;520.767,5
05/2016;516.174,4
06/2016;522.108,2
07/2016;522.430,0
08/2016;530.517,8
09/2016;524.222,8
10/2016;539.850,7
11/2016;545.685,8
12/2016;547.272,0
01/2017;514.650,4
02/2017;510.348,3
03/2017;560.674,7
04/2017;537.458,6
05/2017;550.568,4
06/2017;542.702,6
07/2017;548.635,4
08/2017;555.985,7
09/2017;544.014,2
10/2017;568.504,9
11/2017;573.837,1
12/2017;578.098,7
01/2018;553.155,8
02/2018;539.694,5
03/2018;589.232,7
04/2018;587.189,8
05/2018;562.328,4
06/2018;584.580,8
07/2018;592.551,9
08/2018;599.101,9
09/2018;576.201,9
10/2018;612.132,0
11/2018;607.598,6
12/2018;600.372,6
01/2019;578.928,4
02/2019;576.673,1
03/2019;601.952,0
04/2019;613.117,1
05/2019;616.097,7
06/2019;597.546,4
07/2019;632.338,3
08/2019;630.353,0
09/2019;617.919,0
10/2019;649.359,3
11/2019;637.712,4
12/2019;637.134,4
01/2020;614.672,6
02/2020;618.438,9
03/2020;634.983,0
04/2020;568.268,0
05/2020;576.786,6
06/2020;607.669,0
07/2020;644.038,5
08/2020;637.249,8
09/2020;648.035,1
10/2020;674.163,6
11/2020;679.804,2
12/2020;705.487,6
01/2021;679.749,9
02/2021;707.140,2
03/2021;769.780,0
04/2021;737.636,0
05/2021;731.559,5
06/2021;734.443,3
07/2021;765.598,3
08/2021;767.748,3
09/2021;762.504,5
10/2021;772.567,4
11/2021;788.269,1
12/2021;795.145,6
01/2022;723.718,6
02/2022;753.489,1
03/2022;842.320,4
04/2022;832.126,2
05/2022;841.855,7
06/2022;843.499,5
07/2022;869.065,2
08/2022;874.019,9
09/2022;858.096,8
10/2022;880.459,6
11/2022;880.811,1
12/2022;880.214,4
01/2023;811.601,7
02/2023;830.002,8
03/2023;939.413,5
04/2023;909.739,2
05/2023;912.486,5
06/2023;905.354,1
07/2023;921.245,7
08/2023;932.410,5
09/2023;915.789,2
10/2023;953.938,4
11/2023;961.946,2
12/2023;949.416,8
01/2024;888.747,9
02/2024;899.022,8
03/2024;965.429,1
04/2024;989.507,3
05/2024;961.925,7
06/2024;969.796,4
07/2024;1.008.062,9
08/2024;993.814,9
09/2024;988.035,6
10/2024;1.048.134,2
11/2024;1.026.259,5
12/2024;1.005.973,8
01/2025;960.733,5
02/2025;992.634,2
03/2025;1.066.211,1
04/2025;1.079.804,0
05/2025;1.055.353,6
06/2025;1.041.587,5
07/2025;1.082.818,4
08/2025;1.064.318,8
09/2025;1.058.274,4
Fonte;BCB-Depec
